Rank,Team,W,L,AdjOffEff,AdjDefEff,Total,Date
286,Western Michigan,9,20,107.29,116.92,-9.63,3/16/2026
287,South Dakota,13,16,105.75,115.5,-9.75,3/16/2026
288,Eastern Kentucky,9,21,109.44,119.25,-9.81,3/16/2026
289,Pepperdine,7,23,103.68,113.49,-9.82,3/16/2026
290,Wagner,11,17,104.75,114.6,-9.85,3/16/2026
291,Brown,7,18,98.91,108.76,-9.85,3/16/2026
292,Sacred Heart,13,19,107.42,117.28,-9.86,3/16/2026
293,UNC Greensboro,13,19,108.63,118.56,-9.93,3/16/2026
294,Houston Christian,10,20,103.95,114.15,-10.2,3/16/2026
295,Loyola Chicago,9,24,104.15,114.38,-10.23,3/16/2026
296,Delaware,10,20,104.77,115.12,-10.35,3/16/2026
297,SE Louisiana,8,22,100.6,110.95,-10.35,3/16/2026
298,South Carolina Upstate,10,19,100.84,111.3,-10.46,3/16/2026
299,Jacksonville,10,20,104.2,114.67,-10.47,3/16/2026
300,Grambling,12,19,98.73,109.26,-10.54,3/16/2026
301,Ball State,10,19,99.75,110.36,-10.62,3/16/2026
302,Tennessee Tech,10,18,104.12,114.84,-10.72,3/16/2026
303,Prairie View A&M,14,17,102.23,113.04,-10.81,3/16/2026
304,Northwestern State,8,22,103.09,113.91,-10.82,3/16/2026
305,West Georgia,13,17,103.05,114.07,-11.03,3/16/2026
306,Georgia State,8,22,100.35,111.73,-11.38,3/16/2026
307,Little Rock,10,20,103.55,115.02,-11.47,3/16/2026
308,East Texas A&M,9,21,100.75,112.24,-11.49,3/16/2026
309,Norfolk State,11,17,102.83,114.9,-12.07,3/16/2026
310,Oral Roberts,7,23,102.61,114.86,-12.26,3/16/2026
311,Alabama A&M,15,15,103.89,116.38,-12.49,3/16/2026
312,Stetson,10,21,104.87,117.36,-12.49,3/16/2026
313,UMass Lowell,12,18,104.18,116.69,-12.52,3/16/2026
314,Evansville,5,25,101.5,114.09,-12.58,3/16/2026
315,UAlbany,8,21,104.39,117.09,-12.7,3/16/2026
316,IU Indianapolis,5,25,105.81,118.82,-13.01,3/16/2026
317,Florida A&M,13,16,98.34,111.52,-13.19,3/16/2026
318,Lafayette,10,21,102.14,115.4,-13.27,3/16/2026
319,Northern Arizona,7,22,104.81,118.13,-13.32,3/16/2026
320,Loyola Maryland,10,20,104.65,118.06,-13.41,3/16/2026
321,Eastern Illinois,10,20,98.39,111.88,-13.49,3/16/2026
322,Cleveland State,8,22,109.36,122.98,-13.63,3/16/2026
323,Louisiana,11,22,99.86,113.5,-13.63,3/16/2026
324,Alabama State,9,22,100.56,114.32,-13.76,3/16/2026
325,Arkansas-Pine Bluff,11,19,103.82,117.62,-13.8,3/16/2026
326,New Haven,11,17,97.54,111.41,-13.87,3/16/2026
327,Texas Southern,10,18,101.98,116.05,-14.08,3/16/2026
328,Holy Cross,9,22,101.9,116.22,-14.32,3/16/2026
329,Manhattan,11,20,105.23,119.79,-14.56,3/16/2026
330,Stonehill,10,21,94.36,109.12,-14.76,3/16/2026
331,NJIT,15,17,98.32,113.08,-14.76,3/16/2026
332,Fairleigh Dickinson,8,21,101.85,116.78,-14.93,3/16/2026
333,Army,9,21,102.11,117.73,-15.62,3/16/2026
334,Maine,7,24,94.77,110.48,-15.7,3/16/2026
335,Bucknell,10,23,98.92,114.68,-15.76,3/16/2026
336,Cal State Bakersfield,6,24,101.57,117.66,-16.09,3/16/2026
337,North Florida,5,25,106.74,123.21,-16.47,3/16/2026
338,Southern Indiana,5,23,97.11,113.65,-16.55,3/16/2026
339,Chicago State,6,25,100.88,118.05,-17.16,3/16/2026
340,Northern Illinois,7,21,97.69,114.89,-17.19,3/16/2026
341,North Carolina Central,10,18,102.35,119.66,-17.31,3/16/2026
342,Niagara,7,22,100.13,117.51,-17.38,3/16/2026
343,North Alabama,7,21,100.87,118.26,-17.39,3/16/2026
344,New Hampshire,7,21,97.06,114.8,-17.73,3/16/2026
345,Canisius,9,21,96.62,114.83,-18.2,3/16/2026
346,UTSA,3,25,99.57,118.57,-19,3/16/2026
347,The Citadel,8,22,101.14,120.16,-19.03,3/16/2026
348,Maryland Eastern Shore,7,23,94.72,114.26,-19.54,3/16/2026
349,UL Monroe,2,28,101.61,121.37,-19.77,3/16/2026
350,St. Francis (PA),5,24,100.59,120.41,-19.82,3/16/2026
351,Bryant,7,22,97.35,117.44,-20.09,3/16/2026
352,Morgan State,11,16,100.01,120.67,-20.66,3/16/2026
353,Jackson State,12,21,99,119.87,-20.87,3/16/2026
354,Alcorn State,9,23,96.87,117.9,-21.03,3/16/2026
355,Rider,3,25,97.27,118.98,-21.71,3/16/2026
356,Air Force,3,29,95,116.85,-21.84,3/16/2026
357,South Carolina State,8,22,96.51,118.85,-22.34,3/16/2026
358,Kansas City,1,27,94.28,116.9,-22.62,3/16/2026
359,Binghamton,5,23,98.77,121.74,-22.97,3/16/2026
360,VMI,3,26,99.76,122.95,-23.19,3/16/2026
361,Delaware State,5,22,89.06,113.9,-24.84,3/16/2026
362,Gardner-Webb,2,28,96.29,121.19,-24.89,3/16/2026
363,Western Illinois,2,26,95.13,120.45,-25.32,3/16/2026
364,Coppin State,6,24,93.68,120.44,-26.76,3/16/2026
365,Mississippi Valley State,2,30,90.38,123.22,-32.84,3/16/2026
